"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","435","Login with correct email and password","LMS service","2026-08-23","passed","2026-08-23","Login","Authentication","",""
"","231","Create exercise","LMS service","2026-08-23","passed","2026-08-23","Create entity","Exercises","",""
"","435","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","20","Update course","LMS service","2026-08-23","passed","2026-08-23","Update entity","Courses","",""
"","14","Update exercise","LMS service","2026-08-23","passed","2026-08-23","Update entity","Exercises","",""
"","10","Get exercises","LMS service","2026-08-23","passed","2026-08-23","Get entities","Exercises","",""
"","230","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","11","Get file","LMS service","2026-08-23","passed","2026-08-23","Get entity","Files","",""
"","417","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","214","Get user me","LMS service","2026-08-23","passed","2026-08-23","Get entity","Users","",""
"","21","Create file","LMS service","2026-08-23","passed","2026-08-23","Create entity","Files","",""
"","233","Get courses","LMS service","2026-08-23","passed","2026-08-23","Get entities","Courses","",""
"","207","Get file with incorrect file id","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","227","Get exercise","LMS service","2026-08-23","passed","2026-08-23","Get entity","Exercises","",""
"","19","Delete file","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Files","",""
"","211","Create file with empty filename","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","241","Create course","LMS service","2026-08-23","passed","2026-08-23","Create entity","Courses","",""
"","17","Create file with empty directory","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","16","Delete exercise","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Exercises","",""
