"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS service","2026-08-23","passed","2026-08-23","Get entity","Users","",""
"","26","Get exercise","LMS service","2026-08-23","passed","2026-08-23","Get entity","Exercises","",""
"","290","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","36","Create course","LMS service","2026-08-23","passed","2026-08-23","Create entity","Courses","",""
"","286","Login with correct email and password","LMS service","2026-08-23","passed","2026-08-23","Login","Authentication","",""
"","561","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","21","Delete exercise","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Exercises","",""
"","25","Create exercise","LMS service","2026-08-23","passed","2026-08-23","Create entity","Exercises","",""
"","291","Get file","LMS service","2026-08-23","passed","2026-08-23","Get entity","Files","",""
"","36","Update course","LMS service","2026-08-23","passed","2026-08-23","Update entity","Courses","",""
"","22","Get exercises","LMS service","2026-08-23","passed","2026-08-23","Get entities","Exercises","",""
"","268","Create file with empty directory","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","305","Get courses","LMS service","2026-08-23","passed","2026-08-23","Get entities","Courses","",""
"","552","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","264","Create file","LMS service","2026-08-23","passed","2026-08-23","Create entity","Files","",""
"","261","Get file with incorrect file id","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","28","Update exercise","LMS service","2026-08-23","passed","2026-08-23","Update entity","Exercises","",""
"","263","Create file with empty filename","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","22","Delete file","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Files","",""
