"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Get courses","LMS service","2026-08-23","passed","2026-08-23","Get entities","Courses","",""
"","545","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","14","Get file","LMS service","2026-08-23","passed","2026-08-23","Get entity","Files","",""
"","19","Get exercise","LMS service","2026-08-23","passed","2026-08-23","Get entity","Exercises","",""
"","36","Create course","LMS service","2026-08-23","passed","2026-08-23","Create entity","Courses","",""
"","26","Create file","LMS service","2026-08-23","passed","2026-08-23","Create entity","Files","",""
"","553","Login with correct email and password","LMS service","2026-08-23","passed","2026-08-23","Login","Authentication","",""
"","25","Create exercise","LMS service","2026-08-23","passed","2026-08-23","Create entity","Exercises","",""
"","22","Get exercises","LMS service","2026-08-23","passed","2026-08-23","Get entities","Exercises","",""
"","23","Delete exercise","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Exercises","",""
"","35","Update course","LMS service","2026-08-23","passed","2026-08-23","Update entity","Courses","",""
"","26","Update exercise","LMS service","2026-08-23","passed","2026-08-23","Update entity","Exercises","",""
"","13","Get user me","LMS service","2026-08-23","passed","2026-08-23","Get entity","Users","",""
"","280","Get file with incorrect file id","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","267","Create file with empty filename","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","514","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","22","Delete file","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Files","",""
"","554","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","24","Create file with empty directory","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
