"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Delete exercise","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Exercises","",""
"","23","Update exercise","LMS service","2026-08-23","passed","2026-08-23","Update entity","Exercises","",""
"","18","Get exercise","LMS service","2026-08-23","passed","2026-08-23","Get entity","Exercises","",""
"","265","Create file with empty directory","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","300","Update course","LMS service","2026-08-23","passed","2026-08-23","Update entity","Courses","",""
"","262","Create file","LMS service","2026-08-23","passed","2026-08-23","Create entity","Files","",""
"","539","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","553","Login with correct email and password","LMS service","2026-08-23","passed","2026-08-23","Login","Authentication","",""
"","263","Get file with incorrect file id","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","12","Get user me","LMS service","2026-08-23","passed","2026-08-23","Get entity","Users","",""
"","304","Get courses","LMS service","2026-08-23","passed","2026-08-23","Get entities","Courses","",""
"","30","Create course","LMS service","2026-08-23","passed","2026-08-23","Create entity","Courses","",""
"","293","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","12","Get file","LMS service","2026-08-23","passed","2026-08-23","Get entity","Files","",""
"","15","Get exercises","LMS service","2026-08-23","passed","2026-08-23","Get entities","Exercises","",""
"","268","Create file with empty filename","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","560","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","292","Create exercise","LMS service","2026-08-23","passed","2026-08-23","Create entity","Exercises","",""
"","20","Delete file","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Files","",""
