"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get exercise","LMS service","2026-08-29","passed","2026-08-29","Get entity","Exercises","",""
"","271","Create course","LMS service","2026-08-29","passed","2026-08-29","Create entity","Courses","",""
"","494","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","498","Login with correct email and password","LMS service","2026-08-29","passed","2026-08-29","Login","Authentication","",""
"","235","Create file with empty directory","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","22","Delete exercise","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Exercises","",""
"","246","Create file","LMS service","2026-08-29","passed","2026-08-29","Create entity","Files","",""
"","18","Delete file","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Files","",""
"","12","Get file with incorrect file id","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","269","Get courses","LMS service","2026-08-29","passed","2026-08-29","Get entities","Courses","",""
"","10","Get user me","LMS service","2026-08-29","passed","2026-08-29","Get entity","Users","",""
"","20","Update exercise","LMS service","2026-08-29","passed","2026-08-29","Update entity","Exercises","",""
"","270","Update course","LMS service","2026-08-29","passed","2026-08-29","Update entity","Courses","",""
"","20","Create file with empty filename","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","17","Get exercises","LMS service","2026-08-29","passed","2026-08-29","Get entities","Exercises","",""
"","265","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","11","Get file","LMS service","2026-08-29","passed","2026-08-29","Get entity","Files","",""
"","485","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","318","Create exercise","LMS service","2026-08-29","passed","2026-08-29","Create entity","Exercises","",""
