"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","329","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","14","Get exercises","LMS service","2026-08-23","passed","2026-08-23","Get entities","Exercises","",""
"","331","Get courses","LMS service","2026-08-23","passed","2026-08-23","Get entities","Courses","",""
"","301","Create file with empty directory","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","620","Login with correct email and password","LMS service","2026-08-23","passed","2026-08-23","Login","Authentication","",""
"","625","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","12","Get user me","LMS service","2026-08-23","passed","2026-08-23","Get entity","Users","",""
"","301","Get file with incorrect file id","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","609","Create user","LMS service","2026-08-23","passed","2026-08-23","Create entity","Users","",""
"","18","Delete exercise","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Exercises","",""
"","21","Delete file","LMS service","2026-08-23","passed","2026-08-23","Delete entity","Files","",""
"","26","Update exercise","LMS service","2026-08-23","passed","2026-08-23","Update entity","Exercises","",""
"","341","Update course","LMS service","2026-08-23","passed","2026-08-23","Update entity","Courses","",""
"","299","Create file","LMS service","2026-08-23","passed","2026-08-23","Create entity","Files","",""
"","322","Get file","LMS service","2026-08-23","passed","2026-08-23","Get entity","Files","",""
"","296","Create file with empty filename","LMS service","2026-08-23","passed","2026-08-23","Validate entity","Files","",""
"","30","Create course","LMS service","2026-08-23","passed","2026-08-23","Create entity","Courses","",""
"","20","Get exercise","LMS service","2026-08-23","passed","2026-08-23","Get entity","Exercises","",""
"","21","Create exercise","LMS service","2026-08-23","passed","2026-08-23","Create entity","Exercises","",""
