"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","527","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","12","Get file","LMS service","2026-08-29","passed","2026-08-29","Get entity","Files","",""
"","31","Get courses","LMS service","2026-08-29","passed","2026-08-29","Get entities","Courses","",""
"","264","Get file with incorrect file id","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","20","Create exercise","LMS service","2026-08-29","passed","2026-08-29","Create entity","Exercises","",""
"","555","Login with correct email and password","LMS service","2026-08-29","passed","2026-08-29","Login","Authentication","",""
"","289","Get exercises","LMS service","2026-08-29","passed","2026-08-29","Get entities","Exercises","",""
"","558","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","12","Get user me","LMS service","2026-08-29","passed","2026-08-29","Get entity","Users","",""
"","20","Get exercise","LMS service","2026-08-29","passed","2026-08-29","Get entity","Exercises","",""
"","290","Update exercise","LMS service","2026-08-29","passed","2026-08-29","Update entity","Exercises","",""
"","23","Create file","LMS service","2026-08-29","passed","2026-08-29","Create entity","Files","",""
"","294","Delete exercise","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Exercises","",""
"","23","Create file with empty directory","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","531","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","264","Create file with empty filename","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","30","Create course","LMS service","2026-08-29","passed","2026-08-29","Create entity","Courses","",""
"","21","Delete file","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Files","",""
"","307","Update course","LMS service","2026-08-29","passed","2026-08-29","Update entity","Courses","",""
