"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Create exercise","LMS service","2026-08-29","passed","2026-08-29","Create entity","Exercises","",""
"","547","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","556","Login with correct email and password","LMS service","2026-08-29","passed","2026-08-29","Login","Authentication","",""
"","22","Get exercise","LMS service","2026-08-29","passed","2026-08-29","Get entity","Exercises","",""
"","286","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","269","Create file","LMS service","2026-08-29","passed","2026-08-29","Create entity","Files","",""
"","306","Get courses","LMS service","2026-08-29","passed","2026-08-29","Get entities","Courses","",""
"","300","Update course","LMS service","2026-08-29","passed","2026-08-29","Update entity","Courses","",""
"","12","Get user me","LMS service","2026-08-29","passed","2026-08-29","Get entity","Users","",""
"","266","Create file with empty directory","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","16","Get file","LMS service","2026-08-29","passed","2026-08-29","Get entity","Files","",""
"","24","Create file with empty filename","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","531","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","24","Update exercise","LMS service","2026-08-29","passed","2026-08-29","Update entity","Exercises","",""
"","22","Delete file","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Files","",""
"","16","Get exercises","LMS service","2026-08-29","passed","2026-08-29","Get entities","Exercises","",""
"","14","Get file with incorrect file id","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","20","Delete exercise","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Exercises","",""
"","30","Create course","LMS service","2026-08-29","passed","2026-08-29","Create entity","Courses","",""
