"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","13","Get user me","LMS service","2026-08-29","passed","2026-08-29","Get entity","Users","",""
"","23","Create file with empty filename","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","20","Delete file","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Files","",""
"","262","Create file with empty directory","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","261","Create file","LMS service","2026-08-29","passed","2026-08-29","Create entity","Files","",""
"","299","Get courses","LMS service","2026-08-29","passed","2026-08-29","Get entities","Courses","",""
"","17","Get file","LMS service","2026-08-29","passed","2026-08-29","Get entity","Files","",""
"","526","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","21","Get file with incorrect file id","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","301","Update course","LMS service","2026-08-29","passed","2026-08-29","Update entity","Courses","",""
"","28","Delete exercise","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Exercises","",""
"","34","Create course","LMS service","2026-08-29","passed","2026-08-29","Create entity","Courses","",""
"","293","Create exercise","LMS service","2026-08-29","passed","2026-08-29","Create entity","Exercises","",""
"","16","Get exercise","LMS service","2026-08-29","passed","2026-08-29","Get entity","Exercises","",""
"","542","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","21","Get exercises","LMS service","2026-08-29","passed","2026-08-29","Get entities","Exercises","",""
"","556","Login with correct email and password","LMS service","2026-08-29","passed","2026-08-29","Login","Authentication","",""
"","22","Update exercise","LMS service","2026-08-29","passed","2026-08-29","Update entity","Exercises","",""
